"","gene_id","gene_name"
"1","ENSMUSG00000063897",""
"2","ENSMUSG00000095041",""
"3","ENSMUSG00000099689",""
"4","ENSMUSG00000100030",""
"5","ENSMUSG00000103405",""
"6","ENSMUSG00000085214","0610005C13Rik"
"7","ENSMUSG00000021252","0610007P14Rik"
"8","ENSMUSG00000007777","0610009B22Rik"
"9","ENSMUSG00000086714","0610009E02Rik"
"10","ENSMUSG00000043644","0610009L18Rik"
"11","ENSMUSG00000024442","0610009O20Rik"
"12","ENSMUSG00000042208","0610010F05Rik"
"13","ENSMUSG00000020831","0610010K14Rik"
"14","ENSMUSG00000025731","0610011F06Rik"
"15","ENSMUSG00000089755","0610012D04Rik"
"16","ENSMUSG00000096232","0610012G03Rik"
"17","ENSMUSG00000046683","0610025J13Rik"
"18","ENSMUSG00000058706","0610030E20Rik"
"19","ENSMUSG00000104305","0610030E20Rik"
"20","ENSMUSG00000099146","0610031O16Rik"
"21","ENSMUSG00000028608","0610037L13Rik"
"22","ENSMUSG00000097882","0610038B21Rik"
"23","ENSMUSG00000058812","0610039K10Rik"
"24","ENSMUSG00000089889","0610040B10Rik"
"25","ENSMUSG00000087341","0610040F04Rik"
"26","ENSMUSG00000060512","0610040J01Rik"
"27","ENSMUSG00000087361","0610043K17Rik"
"28","ENSMUSG00000097863","1010001B22Rik"
"29","ENSMUSG00000097222","1010001N08Rik"
"30","ENSMUSG00000019689","1110001J03Rik"
"31","ENSMUSG00000090066","1110002E22Rik"
"32","ENSMUSG00000097134","1110002J07Rik"
"33","ENSMUSG00000071456","1110002L01Rik"
"34","ENSMUSG00000022972","1110004E09Rik"
"35","ENSMUSG00000030663","1110004F10Rik"
"36","ENSMUSG00000037960","1110007C09Rik"
"37","ENSMUSG00000046119","1110008E08Rik"
"38","ENSMUSG00000027637","1110008F13Rik"
"39","ENSMUSG00000021023","1110008L16Rik"
"40","ENSMUSG00000039195","1110008P14Rik"
"41","ENSMUSG00000045237","1110012L19Rik"
"42","ENSMUSG00000098659","1110015O18Rik"
"43","ENSMUSG00000028441","1110017D15Rik"
"44","ENSMUSG00000085151","1110018N20Rik"
"45","ENSMUSG00000097616","1110019D14Rik"
"46","ENSMUSG00000097047","1110020A21Rik"
"47","ENSMUSG00000068073","1110025L11Rik"
"48","ENSMUSG00000085972","1110028F11Rik"
"49","ENSMUSG00000099139","1110028F18Rik"
"50","ENSMUSG00000037971","1110032A03Rik"
"51","ENSMUSG00000046999","1110032F04Rik"
"52","ENSMUSG00000044991","1110034G24Rik"
